dataset,fold,balanced_accuracy,roc_auc
torres_torres,0,0.5840825350036846,0.646484893146647
torres_torres,1,0.43157490034197377,0.4715696392075922
torres_torres,2,0.6218181818181818,0.7008051948051949
torres_torres,3,0.460293395708799,0.5673568396430737
torres_torres,4,0.5077811550151976,0.5256170212765957
ibarra_zarate,0,0.5,0.5
ibarra_zarate,1,0.5,0.5155652283978397
ibarra_zarate,2,0.5359303499547642,0.6670014554132193
ibarra_zarate,3,0.5,0.5637796077867281
ibarra_zarate,4,0.49717336683417085,0.8220589680244799
raeisi,0,0.4788356888384293,0.47337430998708063
raeisi,1,0.5,0.49504741413658454
raeisi,2,0.5894378194207837,0.6379897785349233
raeisi,3,0.6674259681093394,0.9724542309963722
raeisi,4,0.7775179277374276,0.8532683644387238
wang,0,0.4697258141762452,0.47889710382077477
wang,1,0.5401487942534633,0.722797855863152
wang,2,0.5,0.7231683012401282
wang,3,0.5052872649207925,0.6991191795385046
wang,4,0.5,0.571719508003961
