comparison,group,pair,spearman_corr,top5_jaccard
cross_dataset,tier1,A-B,0.4175824175824176,0.42857142857142855
cross_dataset,tier1,A-C,0.5164835164835164,0.25
cross_dataset,tier1,A-D,0.09890109890109891,0.25
cross_dataset,tier1,B-C,0.03296703296703297,0.1111111111111111
cross_dataset,tier1,B-D,-0.4230769230769231,0.1111111111111111
cross_dataset,tier1,C-D,-0.15384615384615383,0.25
cross_dataset,tier2,A-B,0.18431929404004438,0.42857142857142855
cross_dataset,tier2,A-C,-0.15384615384615383,0.1111111111111111
cross_dataset,tier2,A-D,0.21428571428571427,0.42857142857142855
cross_dataset,tier2,B-C,0.29436066361619023,0.25
cross_dataset,tier2,B-D,0.6272358065840317,0.6666666666666666
cross_dataset,tier2,C-D,0.39010989010989006,0.25
cross_dataset,tier3,A-B,0.25274725274725274,0.42857142857142855
cross_dataset,tier3,A-C,-0.17032967032967034,0.1111111111111111
cross_dataset,tier3,A-D,-0.34615384615384615,0.1111111111111111
cross_dataset,tier3,B-C,-0.016483516483516484,0.1111111111111111
cross_dataset,tier3,B-D,0.16483516483516483,0.25
cross_dataset,tier3,C-D,0.21978021978021978,0.42857142857142855
cross_tier,torres_torres,1-2,0.25274725274725274,0.25
cross_tier,torres_torres,1-3,0.2912087912087912,0.42857142857142855
cross_tier,torres_torres,2-3,0.7032967032967032,0.42857142857142855
cross_tier,ibarra_zarate,1-2,0.21733170491288817,0.25
cross_tier,ibarra_zarate,1-3,0.38461538461538464,0.25
cross_tier,ibarra_zarate,2-3,0.12104550653376049,0.42857142857142855
cross_tier,raeisi,1-2,0.32417582417582413,0.25
cross_tier,raeisi,1-3,0.4230769230769231,0.42857142857142855
cross_tier,raeisi,2-3,0.016483516483516484,0.25
cross_tier,wang,1-2,-0.021978021978021976,0.42857142857142855
cross_tier,wang,1-3,-0.11538461538461539,0.25
cross_tier,wang,2-3,0.021978021978021976,0.25
