tier,dataset,channel,raw_importance,normalized_importance
tier1,torres_torres,C3,76.5969137928085,0.7225982176920028
tier1,torres_torres,C4,57.31919132995915,0.37276135894952045
tier1,torres_torres,F3,63.05740311192577,0.4768938874922929
tier1,torres_torres,F4,51.21185336636832,0.2619302204382789
tier1,torres_torres,F7,36.77821674959603,0.0
tier1,torres_torres,F8,68.96653022945605,0.5841280523523086
tier1,torres_torres,Fp1,51.52007520124323,0.2675235864967581
tier1,torres_torres,Fp2,39.58408942828149,0.050918757951534034
tier1,torres_torres,Fz,43.99396221083974,0.1309456410378115
tier1,torres_torres,P7,91.88310916186131,1.0
tier1,torres_torres,P8,81.99195231810106,0.8205031094197605
tier1,torres_torres,T7,85.60469215873,0.8860642544012325
tier1,torres_torres,T8,80.22520118873702,0.7884415074090686
tier1,ibarra_zarate,C3,2897.85383199647,0.7280055824319553
tier1,ibarra_zarate,C4,2827.221251628035,0.6743000717130944
tier1,ibarra_zarate,F3,2295.3892330397116,0.2699213837769961
tier1,ibarra_zarate,F4,2552.4769475368926,0.46539813026700655
tier1,ibarra_zarate,F7,2795.6781134206562,0.6503162339675891
tier1,ibarra_zarate,F8,2111.915006505095,0.13041668228667536
tier1,ibarra_zarate,Fp1,1940.3931892893588,0.0
tier1,ibarra_zarate,Fp2,2149.406540559018,0.15892338519200114
tier1,ibarra_zarate,Fz,2125.4537419202043,0.1407108651717299
tier1,ibarra_zarate,P7,2679.396963379477,0.5619018150498164
tier1,ibarra_zarate,P8,2374.460403830745,0.3300431800970478
tier1,ibarra_zarate,T7,3115.020747603522,0.8931285335273206
tier1,ibarra_zarate,T8,3255.576294765892,1.0
tier1,raeisi,C3,0.36075984335623384,0.163209867833568
tier1,raeisi,C4,0.3576472742287169,0.14116347885952377
tier1,raeisi,F3,0.3700520045868645,0.22902643045669038
tier1,raeisi,F4,0.38301751953889457,0.3208614304745927
tier1,raeisi,F7,0.34419076120799574,0.045850729765409486
tier1,raeisi,F8,0.3701692114247143,0.2298566088179711
tier1,raeisi,Fp1,0.355909931710434,0.12885784728315275
tier1,raeisi,Fp2,0.3580784283803449,0.14421735228213547
tier1,raeisi,Fz,0.33937378145463915,0.011731966463495683
tier1,raeisi,P7,0.40699184500400165,0.490672054091403
tier1,raeisi,P8,0.3609406262905307,0.16449035694918068
tier1,raeisi,T7,0.4789001489935193,1.0
tier1,raeisi,T8,0.33771743053647596,0.0
tier1,wang,C3,7.875826824133423,0.22897609028571841
tier1,wang,C4,6.78108863899552,0.1537438084981948
tier1,wang,F3,12.015782891392858,0.5134809569911726
tier1,wang,F4,8.86840479567913,0.29718774734234027
tier1,wang,F7,9.917694165320803,0.36929670874080595
tier1,wang,F8,15.082184583041004,0.7242093295570317
tier1,wang,Fp1,15.993497851342697,0.7868363371176984
tier1,wang,Fp2,4.543894526408931,0.0
tier1,wang,Fz,10.201989213983692,0.388833951071592
tier1,wang,P7,7.783417111741348,0.2226255366858101
tier1,wang,P8,19.095336528789513,1.0
tier1,wang,T7,8.214840367073574,0.2522736811969621
tier1,wang,T8,11.081310320314863,0.449262402505293
tier2,torres_torres,C3,0.11189118908327304,0.0
tier2,torres_torres,C4,0.2943034905402104,0.34390245318449286
tier2,torres_torres,F3,0.5453643367901712,0.8172282115589573
tier2,torres_torres,F4,0.23025169882551144,0.22314542021241965
tier2,torres_torres,F7,0.3470623656233653,0.4433689169231485
tier2,torres_torres,F8,0.14342740231725384,0.05945531638322962
tier2,torres_torres,Fp1,0.5792024585058593,0.8810233228328962
tier2,torres_torres,Fp2,0.15408279878371803,0.07954396695779342
tier2,torres_torres,Fz,0.23162313376971283,0.2257309905819988
tier2,torres_torres,P7,0.40358674394558536,0.54993449509129
tier2,torres_torres,P8,0.6423099161607413,1.0
tier2,torres_torres,T7,0.3419233421944684,0.4336803008043094
tier2,torres_torres,T8,0.3208122413828322,0.39387947980397375
tier2,ibarra_zarate,C3,0.6039112133299687,1.0
tier2,ibarra_zarate,C4,0.5849735259608494,0.9511052836178754
tier2,ibarra_zarate,F3,0.3887832512477364,0.444566779097463
tier2,ibarra_zarate,F4,0.36426247314901256,0.38125722776538434
tier2,ibarra_zarate,F7,0.3223404150000899,0.2730197696537376
tier2,ibarra_zarate,F8,0.2165955937624793,0.0
tier2,ibarra_zarate,Fp1,0.5,0.7317143743234392
tier2,ibarra_zarate,Fp2,0.46101886621459265,0.6310700113903431
tier2,ibarra_zarate,Fz,0.23847301181107539,0.05648472961928653
tier2,ibarra_zarate,P7,0.47469156750683794,0.6663711988495875
tier2,ibarra_zarate,P8,0.5,0.7317143743234392
tier2,ibarra_zarate,T7,0.39491537270666977,0.4603991420312921
tier2,ibarra_zarate,T8,0.33581731873084286,0.30781543254438587
tier2,raeisi,C3,0.6365044085901629,1.0
tier2,raeisi,C4,0.21538860680671967,0.08890414273142536
tier2,raeisi,F3,0.4478107440605206,0.591755960432491
tier2,raeisi,F4,0.35993647249726507,0.4016375074019698
tier2,raeisi,F7,0.17429640004325775,0.0
tier2,raeisi,F8,0.3658200901134009,0.41436687925909704
tier2,raeisi,Fp1,0.3747289794606107,0.43364151142139484
tier2,raeisi,Fp2,0.5048960635400606,0.7152616514286411
tier2,raeisi,Fz,0.5096334729670321,0.7255111696961091
tier2,raeisi,P7,0.6045480146437407,0.9308614447272625
tier2,raeisi,P8,0.3783642434726693,0.44150650714807466
tier2,raeisi,T7,0.47767236687523607,0.6563624195645921
tier2,raeisi,T8,0.3042546254836809,0.2811682684793526
tier2,wang,C3,0.6055529449839353,0.8919430699040315
tier2,wang,C4,0.47437346126542074,0.6881427986919917
tier2,wang,F3,0.15544041450776283,0.1926488419756566
tier2,wang,F4,0.23255059502078007,0.3124471157322733
tier2,wang,F7,0.03143873639889004,0.0
tier2,wang,F8,0.14469314111781154,0.17595189234928088
tier2,wang,Fp1,0.5,0.7279561551429133
tier2,wang,Fp2,0.15003593973450302,0.18425245716511385
tier2,wang,Fz,0.4293978538552851,0.618268754914076
tier2,wang,P7,0.6751056115132592,1.0
tier2,wang,P8,0.6005749684663179,0.8842092922154826
tier2,wang,T7,0.22520944800242704,0.30104191950083975
tier2,wang,T8,0.5584836419604176,0.8188162634093609
tier3,torres_torres,C3,0.12150437384843826,0.07832169532775879
tier3,torres_torres,C4,0.17973648011684418,0.7144383192062378
tier3,torres_torres,F3,0.15789462625980377,0.4758419990539551
tier3,torres_torres,F4,0.12390227615833282,0.1045159250497818
tier3,torres_torres,F7,0.19091816246509552,0.8365849256515503
tier3,torres_torres,F8,0.11433456093072891,0.0
tier3,torres_torres,Fp1,0.13532300293445587,0.22927381098270416
tier3,torres_torres,Fp2,0.12220383435487747,0.08596246689558029
tier3,torres_torres,Fz,0.11525552719831467,0.010060463100671768
tier3,torres_torres,P7,0.16996052861213684,0.6076476573944092
tier3,torres_torres,P8,0.20587769150733948,1.0
tier3,torres_torres,T7,0.13995136320590973,0.2798331379890442
tier3,torres_torres,T8,0.19320113956928253,0.8615237474441528
tier3,ibarra_zarate,C3,0.21832941472530365,0.8130796551704407
tier3,ibarra_zarate,C4,0.16649127006530762,0.4144299030303955
tier3,ibarra_zarate,F3,0.2014717310667038,0.6834393739700317
tier3,ibarra_zarate,F4,0.1633288860321045,0.3901103138923645
tier3,ibarra_zarate,F7,0.15089140832424164,0.294462651014328
tier3,ibarra_zarate,F8,0.17521758377552032,0.48153769969940186
tier3,ibarra_zarate,Fp1,0.11260116100311279,0.0
tier3,ibarra_zarate,Fp2,0.15224584937095642,0.30487868189811707
tier3,ibarra_zarate,Fz,0.20290830731391907,0.6944870352745056
tier3,ibarra_zarate,P7,0.20917221903800964,0.742658257484436
tier3,ibarra_zarate,P8,0.24263547360897064,1.0
tier3,ibarra_zarate,T7,0.1936224102973938,0.6230759024620056
tier3,ibarra_zarate,T8,0.2273530811071396,0.8824741840362549
tier3,raeisi,C3,0.10886252671480179,0.05670139938592911
tier3,raeisi,C4,0.17139089107513428,0.6287674307823181
tier3,raeisi,F3,0.163117915391922,0.5530787706375122
tier3,raeisi,F4,0.12511837482452393,0.20542459189891815
tier3,raeisi,F7,0.11421988904476166,0.10571539402008057
tier3,raeisi,F8,0.1407194286584854,0.34815713763237
tier3,raeisi,Fp1,0.10266491025686264,0.0
tier3,raeisi,Fp2,0.13200370967388153,0.2684178650379181
tier3,raeisi,Fz,0.13600033521652222,0.30498260259628296
tier3,raeisi,P7,0.12369144707918167,0.19236977398395538
tier3,raeisi,P8,0.11980468779802322,0.15681017935276031
tier3,raeisi,T7,0.2119676172733307,1.0
tier3,raeisi,T8,0.11658422648906708,0.1273464858531952
tier3,wang,C3,0.27493810653686523,0.7698568105697632
tier3,wang,C4,0.18107569217681885,0.33493736386299133
tier3,wang,F3,0.2698850929737091,0.7464432716369629
tier3,wang,F4,0.2239878922700882,0.5337746739387512
tier3,wang,F7,0.22995173931121826,0.5614086985588074
tier3,wang,F8,0.2325974553823471,0.5736678242683411
tier3,wang,Fp1,0.20633874833583832,0.4519958794116974
tier3,wang,Fp2,0.10879097878932953,0.0
tier3,wang,Fz,0.2311938852071762,0.5671642422676086
tier3,wang,P7,0.27441084384918213,0.7674137353897095
tier3,wang,P8,0.15634725987911224,0.2203560620546341
tier3,wang,T7,0.32460659742355347,1.0
tier3,wang,T8,0.18077391386032104,0.33353903889656067
