source,target,balanced_accuracy,roc_auc
torres_torres,ibarra_zarate,0.5353357720423328,0.5356957226331476
torres_torres,raeisi,0.5256308229813664,0.5827230231272351
torres_torres,wang,0.48995079566245237,0.5326887380980339
ibarra_zarate,torres_torres,0.514129849137931,0.524577496408046
ibarra_zarate,raeisi,0.43576486918878227,0.4409339415113872
ibarra_zarate,wang,0.5268494502869313,0.5311586547054594
raeisi,torres_torres,0.4868669181034483,0.48276849856321835
raeisi,ibarra_zarate,0.5344129217228963,0.532775149240678
raeisi,wang,0.45682147296610215,0.45410926208822133
wang,torres_torres,0.5657686781609196,0.7256636135057472
wang,ibarra_zarate,0.6707489028840209,0.6915200165216834
wang,raeisi,0.4483110413137587,0.4326257528703181
