source,target,tier,model,balanced_accuracy,roc_auc
torres_torres,ibarra_zarate,tier1,elastic_net,0.5353357720423328,0.5356957226331476
torres_torres,raeisi,tier1,elastic_net,0.41915607041811725,0.46267910866350526
torres_torres,wang,tier1,elastic_net,0.48995079566245237,0.5326887380980339
ibarra_zarate,torres_torres,tier1,elastic_net,0.5108656609195402,0.5223024425287357
ibarra_zarate,raeisi,tier1,elastic_net,0.4238259912881299,0.4179066170346575
ibarra_zarate,wang,tier1,elastic_net,0.5258783421091143,0.5309822328756585
raeisi,torres_torres,tier1,elastic_net,0.4910111350574713,0.5244351652298851
raeisi,ibarra_zarate,tier1,elastic_net,0.40019085878117083,0.43280597586171665
raeisi,wang,tier1,elastic_net,0.5297929111395057,0.5480858954506884
wang,torres_torres,tier1,elastic_net,0.5657686781609196,0.7256636135057472
wang,ibarra_zarate,tier1,elastic_net,0.6707489028840209,0.6915200165216834
wang,raeisi,tier1,elastic_net,0.46711044976304267,0.41598082708683903
