dataset,tier,model,balanced_accuracy,roc_auc
torres_torres,tier2,random_forest,0.6161533073061431,0.6945976851867807
torres_torres,tier2,svm,0.6349172325305267,0.6559681787507332
torres_torres,tier3,eegnet,0.5211100335775674,0.5823667176158207
ibarra_zarate,tier2,random_forest,0.5,0.5690772312351053
ibarra_zarate,tier2,svm,0.6154876721348355,0.7153727043194177
ibarra_zarate,tier3,eegnet,0.506620743357787,0.6136810519244534
raeisi,tier2,random_forest,0.7186486086159567,0.897509813438983
raeisi,tier2,svm,0.7996270209545696,0.9250033768677891
raeisi,tier3,eegnet,0.602643480821196,0.6864268196187367
wang,tier2,random_forest,0.5527331523291997,0.799967247881485
wang,tier2,svm,0.6192309894358481,0.7424140363771077
wang,tier3,eegnet,0.5030323746701002,0.6391403896933041
