dataset,model,feature,importance
torres_torres,random_forest,power_delta_C3,0.0
torres_torres,svm,power_delta_C3,0.0
torres_torres,random_forest,power_theta_C3,0.00017143855457597812
torres_torres,svm,power_theta_C3,5.7471264367814355e-05
torres_torres,random_forest,power_alpha_C3,1.3392145463879198e-18
torres_torres,svm,power_alpha_C3,0.0013011853448275713
torres_torres,random_forest,power_beta_C3,0.00032271288230366417
torres_torres,svm,power_beta_C3,0.0
torres_torres,random_forest,power_gamma_C3,0.0011935289695300386
torres_torres,svm,power_gamma_C3,0.0
torres_torres,random_forest,power_delta_C4,0.0
torres_torres,svm,power_delta_C4,0.0
torres_torres,random_forest,power_theta_C4,4.1521104226608602e-19
torres_torres,svm,power_theta_C4,0.0011328125000000134
torres_torres,random_forest,power_alpha_C4,1.5882821824172032e-18
torres_torres,svm,power_alpha_C4,3.906249999999778e-05
torres_torres,random_forest,power_beta_C4,0.0
torres_torres,svm,power_beta_C4,0.0
torres_torres,random_forest,power_gamma_C4,0.0012717578321744302
torres_torres,svm,power_gamma_C4,0.02173356681034484
torres_torres,random_forest,power_delta_F3,1.7191902888936832e-18
torres_torres,svm,power_delta_F3,0.006721892959770126
torres_torres,random_forest,power_theta_F3,6.1707436947358405e-18
torres_torres,svm,power_theta_F3,0.008144755747126453
torres_torres,random_forest,power_alpha_F3,0.0
torres_torres,svm,power_alpha_F3,0.004788523706896597
torres_torres,random_forest,power_beta_F3,0.000747973040177878
torres_torres,svm,power_beta_F3,0.0
torres_torres,random_forest,power_gamma_F3,0.0
torres_torres,svm,power_gamma_F3,0.0
torres_torres,random_forest,power_delta_F4,0.0
torres_torres,svm,power_delta_F4,0.0046919899425287735
torres_torres,random_forest,power_theta_F4,1.699654084369692e-18
torres_torres,svm,power_theta_F4,0.007240930316091942
torres_torres,random_forest,power_alpha_F4,1.6117869845369706e-17
torres_torres,svm,power_alpha_F4,0.0035187679597701083
torres_torres,random_forest,power_beta_F4,0.0
torres_torres,svm,power_beta_F4,0.0
torres_torres,random_forest,power_gamma_F4,0.00021050673362056613
torres_torres,svm,power_gamma_F4,0.0
torres_torres,random_forest,power_delta_F7,0.00013485769238028315
torres_torres,svm,power_delta_F7,0.003618444683908062
torres_torres,random_forest,power_theta_F7,0.0
torres_torres,svm,power_theta_F7,0.006416127873563238
torres_torres,random_forest,power_alpha_F7,0.0
torres_torres,svm,power_alpha_F7,0.005530711206896533
torres_torres,random_forest,power_beta_F7,0.000303893295728984
torres_torres,svm,power_beta_F7,0.0
torres_torres,random_forest,power_gamma_F7,0.0
torres_torres,svm,power_gamma_F7,0.0
torres_torres,random_forest,power_delta_F8,0.0
torres_torres,svm,power_delta_F8,0.0016985452586206983
torres_torres,random_forest,power_theta_F8,2.5703871687541735e-17
torres_torres,svm,power_theta_F8,0.00626616379310343
torres_torres,random_forest,power_alpha_F8,1.3474721858570517e-18
torres_torres,svm,power_alpha_F8,0.004977101293103481
torres_torres,random_forest,power_beta_F8,8.013019983362509e-19
torres_torres,svm,power_beta_F8,0.0
torres_torres,random_forest,power_gamma_F8,0.0017771157411808171
torres_torres,svm,power_gamma_F8,0.0
torres_torres,random_forest,power_delta_Fp1,1.5574943658707968e-05
torres_torres,svm,power_delta_Fp1,0.00225978807471261
torres_torres,random_forest,power_theta_Fp1,0.0
torres_torres,svm,power_theta_Fp1,0.004691989942528762
torres_torres,random_forest,power_alpha_Fp1,0.0
torres_torres,svm,power_alpha_Fp1,0.005170168821839105
torres_torres,random_forest,power_beta_Fp1,0.0
torres_torres,svm,power_beta_Fp1,0.029616558908045966
torres_torres,random_forest,power_gamma_Fp1,0.0017460188196776027
torres_torres,svm,power_gamma_Fp1,0.0
torres_torres,random_forest,power_delta_Fp2,1.3420135336848054e-17
torres_torres,svm,power_delta_Fp2,0.002087374281609167
torres_torres,random_forest,power_theta_Fp2,1.0439362125091703e-18
torres_torres,svm,power_theta_Fp2,0.004979346264367845
torres_torres,random_forest,power_alpha_Fp2,0.0
torres_torres,svm,power_alpha_Fp2,0.0042712823275862346
torres_torres,random_forest,power_beta_Fp2,0.00041890720784491797
torres_torres,svm,power_beta_Fp2,0.0
torres_torres,random_forest,power_gamma_Fp2,0.0
torres_torres,svm,power_gamma_Fp2,0.0
torres_torres,random_forest,power_delta_Fz,2.4039199036647325e-18
torres_torres,svm,power_delta_Fz,0.0072759518678160995
torres_torres,random_forest,power_theta_Fz,0.0
torres_torres,svm,power_theta_Fz,0.007832255747126426
torres_torres,random_forest,power_alpha_Fz,9.86506850784639e-18
torres_torres,svm,power_alpha_Fz,0.004788523706896597
torres_torres,random_forest,power_beta_Fz,0.001001242920367657
torres_torres,svm,power_beta_Fz,0.0
torres_torres,random_forest,power_gamma_Fz,0.001205587767528459
torres_torres,svm,power_gamma_Fz,0.0
torres_torres,random_forest,power_delta_P7,7.249413824051251e-17
torres_torres,svm,power_delta_P7,0.0
torres_torres,random_forest,power_theta_P7,0.0
torres_torres,svm,power_theta_P7,0.0016015624999999867
torres_torres,random_forest,power_alpha_P7,0.0
torres_torres,svm,power_alpha_P7,0.0008593749999999956
torres_torres,random_forest,power_beta_P7,1.2247981613263873e-17
torres_torres,svm,power_beta_P7,0.0
torres_torres,random_forest,power_gamma_P7,0.004535167304231029
torres_torres,svm,power_gamma_P7,0.0
torres_torres,random_forest,power_delta_P8,0.0
torres_torres,svm,power_delta_P8,0.0
torres_torres,random_forest,power_theta_P8,0.0
torres_torres,svm,power_theta_P8,0.0
torres_torres,random_forest,power_alpha_P8,0.0
torres_torres,svm,power_alpha_P8,0.0
torres_torres,random_forest,power_beta_P8,0.0006294168864513158
torres_torres,svm,power_beta_P8,0.006093750000000009
torres_torres,random_forest,power_gamma_P8,0.0019472958220425336
torres_torres,svm,power_gamma_P8,0.006757812500000004
torres_torres,random_forest,power_delta_T7,3.4779526578936145e-17
torres_torres,svm,power_delta_T7,0.0
torres_torres,random_forest,power_theta_T7,0.0
torres_torres,svm,power_theta_T7,0.0016069504310344707
torres_torres,random_forest,power_alpha_T7,0.0
torres_torres,svm,power_alpha_T7,3.906249999999778e-05
torres_torres,random_forest,power_beta_T7,0.0005810726346159241
torres_torres,svm,power_beta_T7,0.0
torres_torres,random_forest,power_gamma_T7,0.00045829127917130293
torres_torres,svm,power_gamma_T7,0.0
torres_torres,random_forest,power_delta_T8,9.719332132720926e-18
torres_torres,svm,power_delta_T8,0.0
torres_torres,random_forest,power_theta_T8,0.0
torres_torres,svm,power_theta_T8,0.0025633081896552002
torres_torres,random_forest,power_alpha_T8,3.1787203964295846e-18
torres_torres,svm,power_alpha_T8,0.0012253053160919292
torres_torres,random_forest,power_beta_T8,0.0
torres_torres,svm,power_beta_T8,0.0
torres_torres,random_forest,power_gamma_T8,1.6101802662812851e-18
torres_torres,svm,power_gamma_T8,0.0
torres_torres,random_forest,wpli_delta_C3_C4,0.0007212164955661275
torres_torres,svm,wpli_delta_C3_C4,0.0
torres_torres,random_forest,wpli_theta_C3_C4,0.0002622575813985524
torres_torres,svm,wpli_theta_C3_C4,0.0
torres_torres,random_forest,wpli_alpha_C3_C4,0.004456620326972308
torres_torres,svm,wpli_alpha_C3_C4,0.0
torres_torres,random_forest,wpli_beta_C3_C4,0.0013865612203760088
torres_torres,svm,wpli_beta_C3_C4,0.0
torres_torres,random_forest,wpli_gamma_C3_C4,8.7395798408507e-17
torres_torres,svm,wpli_gamma_C3_C4,0.0
torres_torres,random_forest,wpli_delta_C3_F3,0.0015216948762730245
torres_torres,svm,wpli_delta_C3_F3,0.0
torres_torres,random_forest,wpli_theta_C3_F3,0.0
torres_torres,svm,wpli_theta_C3_F3,0.0
torres_torres,random_forest,wpli_alpha_C3_F3,0.0038832870441092115
torres_torres,svm,wpli_alpha_C3_F3,0.0
torres_torres,random_forest,wpli_beta_C3_F3,0.005968730327628915
torres_torres,svm,wpli_beta_C3_F3,0.0
torres_torres,random_forest,wpli_gamma_C3_F3,0.005557757326265236
torres_torres,svm,wpli_gamma_C3_F3,0.0
torres_torres,random_forest,wpli_delta_C4_F3,0.0006440795297920168
torres_torres,svm,wpli_delta_C4_F3,0.0
torres_torres,random_forest,wpli_theta_C4_F3,0.0013907905723657122
torres_torres,svm,wpli_theta_C4_F3,0.0
torres_torres,random_forest,wpli_alpha_C4_F3,0.0
torres_torres,svm,wpli_alpha_C4_F3,0.0
torres_torres,random_forest,wpli_beta_C4_F3,0.005227801612103475
torres_torres,svm,wpli_beta_C4_F3,0.0
torres_torres,random_forest,wpli_gamma_C4_F3,0.004731027682263629
torres_torres,svm,wpli_gamma_C4_F3,0.0
torres_torres,random_forest,wpli_delta_C3_F4,0.001959055919641914
torres_torres,svm,wpli_delta_C3_F4,0.0
torres_torres,random_forest,wpli_theta_C3_F4,0.0014587485515379576
torres_torres,svm,wpli_theta_C3_F4,0.0
torres_torres,random_forest,wpli_alpha_C3_F4,0.00209350675538298
torres_torres,svm,wpli_alpha_C3_F4,0.0
torres_torres,random_forest,wpli_beta_C3_F4,0.008642916232404914
torres_torres,svm,wpli_beta_C3_F4,0.0
torres_torres,random_forest,wpli_gamma_C3_F4,0.00024542172403728445
torres_torres,svm,wpli_gamma_C3_F4,0.0
torres_torres,random_forest,wpli_delta_C4_F4,0.0
torres_torres,svm,wpli_delta_C4_F4,0.0
torres_torres,random_forest,wpli_theta_C4_F4,0.0013034217425706885
torres_torres,svm,wpli_theta_C4_F4,0.0
torres_torres,random_forest,wpli_alpha_C4_F4,0.00037401940918293646
torres_torres,svm,wpli_alpha_C4_F4,0.0
torres_torres,random_forest,wpli_beta_C4_F4,0.0015832226603299852
torres_torres,svm,wpli_beta_C4_F4,0.0
torres_torres,random_forest,wpli_gamma_C4_F4,0.003300347339977252
torres_torres,svm,wpli_gamma_C4_F4,0.0
torres_torres,random_forest,wpli_delta_F3_F4,0.0021162094880432325
torres_torres,svm,wpli_delta_F3_F4,0.0
torres_torres,random_forest,wpli_theta_F3_F4,0.006918523034066667
torres_torres,svm,wpli_theta_F3_F4,0.0
torres_torres,random_forest,wpli_alpha_F3_F4,7.669693918699199e-19
torres_torres,svm,wpli_alpha_F3_F4,0.0
torres_torres,random_forest,wpli_beta_F3_F4,0.0005906642931368265
torres_torres,svm,wpli_beta_F3_F4,0.0
