dataset,model,rank,feature,feature_type,band,channel,importance
torres_torres,random_forest,1,wpli_beta_T7_T8,wpli,beta,T7-T8,0.0457114522036144
torres_torres,random_forest,2,wpli_gamma_P7_P8,wpli,gamma,P7-P8,0.0423544137990308
torres_torres,random_forest,3,wpli_alpha_C4_T7,wpli,alpha,C4-T7,0.0253307991564688
torres_torres,random_forest,4,wpli_beta_F3_P7,wpli,beta,F3-P7,0.0189140729157151
torres_torres,random_forest,5,wpli_delta_F3_P8,wpli,delta,F3-P8,0.0170967738450401
torres_torres,random_forest,6,wpli_alpha_C3_F7,wpli,alpha,C3-F7,0.0153941325108918
torres_torres,random_forest,7,wpli_delta_Fp2_P8,wpli,delta,Fp2-P8,0.0147688391337007
torres_torres,random_forest,8,wpli_delta_Fp1_P8,wpli,delta,Fp1-P8,0.0137151772229194
torres_torres,random_forest,9,wpli_delta_F4_P7,wpli,delta,F4-P7,0.0130610976668171
torres_torres,random_forest,10,wpli_beta_F3_P8,wpli,beta,F3-P8,0.0114125901645344
torres_torres,random_forest,11,wpli_beta_P8_T7,wpli,beta,P8-T7,0.0110692438851162
torres_torres,random_forest,12,wpli_theta_P7_T8,wpli,theta,P7-T8,0.01067064513667
torres_torres,random_forest,13,wpli_beta_F7_P8,wpli,beta,F7-P8,0.0103894516724297
torres_torres,random_forest,14,wpli_theta_C3_T8,wpli,theta,C3-T8,0.0100250969419334
torres_torres,random_forest,15,wpli_theta_P8_T7,wpli,theta,P8-T7,0.0092237102741437
torres_torres,random_forest,16,wpli_beta_P7_T7,wpli,beta,P7-T7,0.0087638469630959
torres_torres,random_forest,17,wpli_beta_C3_F4,wpli,beta,C3-F4,0.0086429162324049
torres_torres,random_forest,18,wpli_theta_F8_Fz,wpli,theta,F8-Fz,0.0085352286932136
torres_torres,random_forest,19,wpli_theta_F3_Fp1,wpli,theta,F3-Fp1,0.0080617447909042
torres_torres,random_forest,20,wpli_delta_F3_Fz,wpli,delta,F3-Fz,0.0078618233952726
torres_torres,svm,1,power_beta_Fp1,power,beta,Fp1,0.0296165589080459
torres_torres,svm,2,power_gamma_C4,power,gamma,C4,0.0217335668103448
torres_torres,svm,3,power_theta_F3,power,theta,F3,0.0081447557471264
torres_torres,svm,4,power_theta_Fz,power,theta,Fz,0.0078322557471264
torres_torres,svm,5,power_delta_Fz,power,delta,Fz,0.007275951867816
torres_torres,svm,6,power_theta_F4,power,theta,F4,0.0072409303160919
torres_torres,svm,7,power_gamma_P8,power,gamma,P8,0.0067578125
torres_torres,svm,8,power_delta_F3,power,delta,F3,0.0067218929597701
torres_torres,svm,9,power_theta_F7,power,theta,F7,0.0064161278735632
torres_torres,svm,10,power_theta_F8,power,theta,F8,0.0062661637931034
torres_torres,svm,11,power_beta_P8,power,beta,P8,0.00609375
torres_torres,svm,12,power_alpha_F7,power,alpha,F7,0.0055307112068965
torres_torres,svm,13,power_alpha_Fp1,power,alpha,Fp1,0.0051701688218391
torres_torres,svm,14,power_theta_Fp2,power,theta,Fp2,0.0049793462643678
torres_torres,svm,15,power_alpha_F8,power,alpha,F8,0.0049771012931034
torres_torres,svm,16,power_alpha_F3,power,alpha,F3,0.0047885237068965
torres_torres,svm,17,power_alpha_Fz,power,alpha,Fz,0.0047885237068965
torres_torres,svm,18,power_delta_F4,power,delta,F4,0.0046919899425287
torres_torres,svm,19,power_theta_Fp1,power,theta,Fp1,0.0046919899425287
torres_torres,svm,20,power_alpha_Fp2,power,alpha,Fp2,0.0042712823275862
ibarra_zarate,random_forest,1,wpli_alpha_C3_T7,wpli,alpha,C3-T7,0.0436777231351695
ibarra_zarate,random_forest,2,wpli_theta_C4_Fp2,wpli,theta,C4-Fp2,0.0247635767538731
ibarra_zarate,random_forest,3,wpli_theta_C4_Fp1,wpli,theta,C4-Fp1,0.0229005665108751
ibarra_zarate,random_forest,4,wpli_theta_Fp1_Fp2,wpli,theta,Fp1-Fp2,0.0178901508806598
ibarra_zarate,random_forest,5,wpli_delta_C3_F7,wpli,delta,C3-F7,0.0168195990189066
ibarra_zarate,random_forest,6,power_beta_Fp1,power,beta,Fp1,0.0154812716525801
ibarra_zarate,random_forest,7,wpli_gamma_P7_T8,wpli,gamma,P7-T8,0.0149533131477083
ibarra_zarate,random_forest,8,wpli_alpha_F8_Fz,wpli,alpha,F8-Fz,0.0143347651279772
ibarra_zarate,random_forest,9,wpli_alpha_Fp2_Fz,wpli,alpha,Fp2-Fz,0.0131728032146157
ibarra_zarate,random_forest,10,wpli_alpha_F3_F8,wpli,alpha,F3-F8,0.0118891060240001
ibarra_zarate,random_forest,11,wpli_beta_Fp2_P8,wpli,beta,Fp2-P8,0.010900380026566
ibarra_zarate,random_forest,12,wpli_theta_F4_Fp1,wpli,theta,F4-Fp1,0.0107699252036266
ibarra_zarate,random_forest,13,wpli_alpha_F4_Fp1,wpli,alpha,F4-Fp1,0.0106937238027569
ibarra_zarate,random_forest,14,wpli_alpha_Fp1_Fz,wpli,alpha,Fp1-Fz,0.0106812933849464
ibarra_zarate,random_forest,15,wpli_alpha_F4_Fp2,wpli,alpha,F4-Fp2,0.0104692235324889
ibarra_zarate,random_forest,16,wpli_beta_F3_T7,wpli,beta,F3-T7,0.0103351165775959
ibarra_zarate,random_forest,17,wpli_gamma_C4_P7,wpli,gamma,C4-P7,0.0101792342475993
ibarra_zarate,random_forest,18,power_gamma_Fp1,power,gamma,Fp1,0.0098116427129397
ibarra_zarate,random_forest,19,wpli_theta_F7_Fz,wpli,theta,F7-Fz,0.009686430333707
ibarra_zarate,random_forest,20,wpli_theta_F3_F7,wpli,theta,F3-F7,0.0093881928674025
ibarra_zarate,svm,1,power_delta_P8,power,delta,P8,0.007027771451778
ibarra_zarate,svm,2,power_delta_T7,power,delta,T7,0.0052626389146258
ibarra_zarate,svm,3,power_delta_P7,power,delta,P7,0.0044999560547467
ibarra_zarate,svm,4,power_delta_C3,power,delta,C3,0.0028603326763914
ibarra_zarate,svm,5,power_gamma_P7,power,gamma,P7,0.0026414777381573
ibarra_zarate,svm,6,power_gamma_C4,power,gamma,C4,0.0025933327906924
ibarra_zarate,svm,7,wpli_beta_F8_T8,wpli,beta,F8-T8,0.0023069742632351
ibarra_zarate,svm,8,power_delta_T8,power,delta,T8,0.0022193868273345
ibarra_zarate,svm,9,power_delta_F4,power,delta,F4,0.0018407919757266
ibarra_zarate,svm,10,wpli_theta_C3_C4,wpli,theta,C3-C4,0.0017402320309374
ibarra_zarate,svm,11,wpli_gamma_F8_P8,wpli,gamma,F8-P8,0.0014503340705167
ibarra_zarate,svm,12,wpli_gamma_F8_T8,wpli,gamma,F8-T8,0.0013291599053033
ibarra_zarate,svm,13,power_delta_C4,power,delta,C4,0.0013265296844774
ibarra_zarate,svm,14,power_theta_C3,power,theta,C3,0.0012792777132189
ibarra_zarate,svm,15,power_gamma_T8,power,gamma,T8,0.0012201626883584
ibarra_zarate,svm,16,wpli_gamma_P7_P8,wpli,gamma,P7-P8,0.0011334844645952
ibarra_zarate,svm,17,wpli_delta_F7_P8,wpli,delta,F7-P8,0.0010868115748766
ibarra_zarate,svm,18,wpli_beta_Fp1_P8,wpli,beta,Fp1-P8,0.001040138685158
ibarra_zarate,svm,19,wpli_gamma_F7_F8,wpli,gamma,F7-F8,0.0009801306840912
ibarra_zarate,svm,20,wpli_beta_T7_T8,wpli,beta,T7-T8,0.0009801306840912
raeisi,random_forest,1,wpli_alpha_C4_Fz,wpli,alpha,C4-Fz,0.028582008763281
raeisi,random_forest,2,wpli_alpha_Fp1_Fz,wpli,alpha,Fp1-Fz,0.0226922023014796
raeisi,random_forest,3,wpli_beta_F8_T8,wpli,beta,F8-T8,0.0226139236725306
raeisi,random_forest,4,wpli_alpha_F3_F8,wpli,alpha,F3-F8,0.0199205277188403
raeisi,random_forest,5,wpli_beta_F3_T7,wpli,beta,F3-T7,0.0198004938351434
raeisi,random_forest,6,wpli_beta_P7_T8,wpli,beta,P7-T8,0.0188873197595544
raeisi,random_forest,7,wpli_alpha_C4_F3,wpli,alpha,C4-F3,0.0185507177642358
raeisi,random_forest,8,wpli_alpha_F4_Fp1,wpli,alpha,F4-Fp1,0.0181928260374632
raeisi,random_forest,9,wpli_theta_Fz_P7,wpli,theta,Fz-P7,0.0170149904517764
raeisi,random_forest,10,wpli_alpha_Fp2_P7,wpli,alpha,Fp2-P7,0.0167752548125648
raeisi,random_forest,11,wpli_beta_F4_P7,wpli,beta,F4-P7,0.0166707750159359
raeisi,random_forest,12,wpli_theta_F4_P8,wpli,theta,F4-P8,0.0164548471228435
raeisi,random_forest,13,wpli_delta_F7_Fp2,wpli,delta,F7-Fp2,0.0132079942829655
raeisi,random_forest,14,wpli_beta_F4_T7,wpli,beta,F4-T7,0.0129514072469105
raeisi,random_forest,15,wpli_theta_F8_P7,wpli,theta,F8-P7,0.012471241793171
raeisi,random_forest,16,wpli_alpha_C3_P7,wpli,alpha,C3-P7,0.0108132162468657
raeisi,random_forest,17,wpli_theta_F8_T7,wpli,theta,F8-T7,0.0107725193214116
